,review,rating,Positive,Negative,Neutral,Output,Character Counts,Word Counts
81,stylish beauti best bass qualityit feel likeheaven  listen funhappi purchasegrab rs mayb cheapest till nowbit tight bt mayb get use itbest wid window  welllov itthanx flipkartread,5,0.144,0.0,0.856,Happy,179,26
82,best headphon realli impress batteri backup  continu listen medium volumesound qualiti extra bass also goodit cushion soft good  comfortableread,4,0.385,0.0,0.615,Unhappy,144,19
83,good  minut  hour usag ear cup small along small frame give high pressur ear ear headphon describ expect go uncomfort refund bass much miss instrument  build qualiti ok simpl design ear cup fix  steel rod hope lastsoud qualiti good superb altern ibal headsetread,1,0.28,0.03,0.69,Unhappy,262,43
84,bought rs big billion dayssupercomnetreceiv within  hrs star flipkart superfast deliveryon discount product assum box wid brokens openbut surpris receiv brand new box complet seal good conditioni happi  half  time case star packag send brand new seal boxcom product product good pricebass ok  bad eread,4,0.152,0.067,0.781,Unhappy,302,45
85,sound qualiti amaz fantast lookbut comfort ear size littl largebcauz ear pretti larg pressuris ear lot cannot use  minread,3,0.122,0.0,0.878,Unhappy,122,19
86,work fine laptop well mobil ear ach use even half hour could much softer good occasion use cannot watch full movi feel pain outer earread,4,0.219,0.106,0.675,Unhappy,137,25
87,product good bass awesom think bass lover give tri let problem flipkart take much time deliv compar servic felt littl bit annoy overal product worth everi penni thank youread,5,0.28,0.141,0.579,Happy,174,29
88,super duper hit bass sound qualiti best batteri backup best beauti  color best money best productsread,5,0.653,0.0,0.347,Happy,102,16
89,best product reason price valu money durabl well love thank flipkartread,5,0.65,0.0,0.35,Happy,72,11
90,super duper hit bass sound qualiti best batteri backup best beauti  color best money best productsread,5,0.653,0.0,0.347,Happy,102,16
91,best product reason price valu money durabl well love thank flipkartread,5,0.65,0.0,0.35,Happy,72,11
92,sound qualiti good enough consid got  might find tight ear usual one bigger head fine thoughdid feel deep bass rock nonethelessread,4,0.198,0.0,0.802,Unhappy,131,21
93,good producti got price  rs phone pay discount   product awesomeloud bass clariti fit ear bluetooth rang smaller said descript ie   good deliveri n packag good batteri backup also awesom charg sinc bought productjust check charg issu find great productgo itread,5,0.308,0.028,0.664,Happy,261,40
94,bought  definit worth amount paid get high bass hd sound qualiti use poweramp music player get best headphon batteri backup  use  hour daili batteri backup  day test limitsconsbut abl make feel comfort regret buy one reason easili sort manufactur ear cushion read,4,0.174,0.057,0.769,Unhappy,263,42
95,pros excel batteri backup near  hrs good bass  one   wire wireless built mic playpaus receiveend call good build qualiti worth pricei got  cashback phonep onlycon bass noth use bass boost worst sound qualiti connect  mm jack need speak loud talk someonealso voic low need listen carefullyread,4,0.229,0.106,0.666,Unhappy,292,46
96,nice product nice build qualiti sound qualiti also batteri backup good overal product nice price  bluetooth rang also good upto  meter mic qualiti also goodread,4,0.415,0.0,0.585,Unhappy,160,25
97,first product boat headphon awesom   sound qualiti amaz loud  feel vibrat play music headphon come one year warranti super  pack product soooooo good  design build appreci even celebr use headphon  headphon cheap perform incred wonder  think buy  foundread,5,0.208,0.0,0.792,Happy,256,38
98,boat rockerz  awesom product price rang compani cannot give much qualiti  price good  bass awesom  sound clear recommend product anyon love musicread,4,0.404,0.0,0.596,Unhappy,149,22
99,helo friendssinc boat trend headphon accessori market mani need second opinion purchas use earphon jbl senheizz skullcandi mi till also chanc use soni wire headset onceth product boat rickerz  headset entri level headset got offer price  product deliv within week time well pack kudo ekart better deliveri howev product box insid courier paread,4,0.089,0.0,0.911,Unhappy,344,53
100,awesom  bass top notch sounf qualiti great even loud speedth batteri backup also good read,5,0.423,0.0,0.577,Happy,90,15
101,know peopl give  product product given  star bcoz superb bass well batteri backup extrem good watch almost two movi time use wire given  appreci amount need product like thiswrit mumbai andheri atlast mumbai style ka review product bohut hard hai read,5,0.237,0.029,0.735,Happy,251,41
102,tight pain  usag compat mobil phone good tri zenfon pro  honor view  mobil volum button work expect button alway chang song call clariti actual worst tri almost  differ devic voic alway get disconnect good point see audio qualiti bass good listen songsread,1,0.215,0.134,0.651,Unhappy,256,42
103,bluetooth connect sound bass good use aux cabl cabl bass  sound low volum button work aux cableand good call day later ear got painingread,2,0.201,0.073,0.727,Unhappy,138,24
104,awesom product crystal clear sound superb bass buy rs  money worth thank big shop day sale  love favourit shop app flipkartread,5,0.489,0.0,0.511,Happy,127,21
105,awesom product great experi awesom sound effect good batteri life  soundproblem takin travel cannot fold flat posit  problem mic work well caller cannot receiv clear even though good productread,4,0.301,0.122,0.577,Unhappy,194,29
106,gift sister rakhiw happi see box qualiti got priceth sound qualiti goodi use headphon includ philip audiotechnica soni also soundmagicthi stand qualiti audiotechnica yeah bluetooth work perfectlyboataudiotechnica rangesoundmagicphilipssonyso buy yes budget stand near read,5,0.201,0.0,0.799,Happy,272,34
107,dissipoint     comfort                                                                 bad ear hard   listen music hhhhh pain start also tight cushion good bakwass                                  sound quit good bass nice trebl absentmid ok type                                                                          build qualiti good special plastic use            conread,1,0.393,0.17,0.437,Unhappy,377,31
108,realli impress thisi use ear soni bluetooth much addict n convinc head phonesbut  mm boat rocker realli rock n use nowtechn worth price n happi custom boat brandcongratsread,4,0.173,0.0,0.827,Unhappy,173,28
109,talk sound qualiti want rate awsm qualiti deep bass peac ear  design  like thing much one friend own awsm product get know wonder product search sorri cannot say anyth much batteri  back write review within  product deliveri      like product hope                   shiread,5,0.256,0.0,0.744,Happy,273,41
110,good headphonebuilt qualiti goodbass super microphon goodalso littl uncomfort use overal good headphon respect pricei got wow deal big saver day flipkartread,4,0.494,0.0,0.506,Unhappy,157,22
111,good sound qualiti reason price colour amaz volum set much good semi comfort wear purpos good productread,4,0.463,0.0,0.537,Unhappy,105,17
112,realli like product awesom product seal open dirti mean use  product good like would like suggest flipkart send use product anyway headphon realli awesomeread,5,0.342,0.0,0.658,Happy,158,24
113,excel jst awesom product love  bestread,4,0.643,0.0,0.357,Unhappy,39,6
114,use headset quit comfort handyi jbl  think build design boat  better thank flipkartread,5,0.441,0.0,0.559,Happy,87,13
115,yes good provid good bass student give ics  board exam holi angel school rajpuraread,5,0.436,0.0,0.564,Happy,84,14
116,receiv  januaryth packag good time deliveryi use headphon around  weeksand go good till nowsound      balanc soundbass        good amount bass mani us like                                initi feel bass mark                                later use poweramp music player                                 magic qualiti        read,4,0.272,0.0,0.728,Unhappy,328,34
117,sound qualiti good connect better good rang within  onlyit feel tight okmic work away around  aboveread,5,0.401,0.0,0.599,Happy,103,16
118,base excel charg good love product lot thank youread,5,0.716,0.0,0.284,Happy,52,9
119,good play pubg wire extra bass build qualiti use  today broken put ear got thought good build qualiti notani way good headphon play pubg use wire otherwis  second delay love  read,3,0.384,0.117,0.499,Unhappy,179,31
120,light weight stylish good sound qualiti bass better good batteri back connect low otherwis great productread,5,0.494,0.081,0.425,Happy,108,16
121,awesom product worth moneynic sound nice build nice design buton thing give   east cup small cushion appreci hurt ear wear long periodsread,4,0.26,0.118,0.623,Unhappy,139,22
122,excel headset  good build qualiti hour run time  sound qualiti also good price pay  thank flipkart give us type saleread,5,0.408,0.051,0.542,Happy,120,20
123,decent good product price sinc use  month face issu sound   sound headphon satisfi best price must say  talk batteri backup headphon come good batteri  long last henc use play  hour daili batteri remain till  daysproblemth problem face  month  product  bluetooth rang  problem common everi bluetoread,4,0.218,0.095,0.687,Unhappy,300,45
124,product realli good  realli happi bcos want bajact wireless headphon everyth iss good look sometim feel simpl cup tea r look look go other also praform iss gud price got rs read,5,0.202,0.0,0.798,Happy,177,32
125,sound clariti bass averag love irrit thing comfort hold earpiec like hell recommend game even though hard gamer cannot use  hard aux perfect fine issu bluetooth connect also irrit point use bt produc awkward sound pauseplaypauseplay  video first thought isread,3,0.306,0.16,0.534,Unhappy,260,40
126,best headphon price got  steal dealthi go long term review buy boat  mind somewher research found boat  durabl get brick joint also  heavi bass kill mid high sometimesfor exampl pubg use  spray abl hear anyth els heavi bass boat come boat read,5,0.082,0.155,0.763,Happy,243,42
127,headphon good regular use cannot use   hour cusion qualiti decent price rang awesom better zebron zeb thunder infin jbl driver bigread,5,0.234,0.0,0.766,Happy,134,21
128,realli like headphon sound qualiti design also good comfort well howev want buy call perfect product microphon perfect person phone abl hear clearlyread,4,0.539,0.0,0.461,Unhappy,152,23
129,built qualiti base colour excel foam materi hold ear made qualiti product one adjust soeaker various direct aux cabl charger cabl provid box use  aux cabl enjoy music  avail bluetooth option opt black red model amaz go may get within  sale daysread,4,0.134,0.0,0.866,Unhappy,248,42
130,like sound headphon want white colour grey overal good good base good batteri qualiti design well price rang good thank flipkart product fast deliveryread,3,0.586,0.0,0.414,Unhappy,154,24
131,reason choos one othersit work bluetooth aux cablewiredso bhagwan na kare agar bluetooth kharab ho jae toh still use aux cabl use wire one advantag big one other two one tight fit ear pain  min mit get loosen time voic good connect work fine till bass good look good built wise short leke baat khatam karo  aur kya chahiyeread,5,0.225,0.046,0.728,Happy,326,59
132,bluetooth headphon realli worth money superb bass best sound qualiti build extrem unbeliev think right  realli realli awesom broread,5,0.389,0.0,0.611,Happy,132,19
133,best head phone never hark base like headphon wonder perform play game pci suggest peopl buy head phone name boat rockerz ,5,0.247,0.079,0.674,Happy,122,21
134,product descript page say bluetooth v  actual v  mean poor connect rangeyou adjust equal set phone allow get good sound els hear bass vocal sound suppress sound qualiti good listen musicbewar buy make regular voip call sound keep break nois ideal call meetingsbuild qualiti could betterread,3,0.209,0.058,0.733,Unhappy,290,46
135,great product color white green also great trust one great productread,5,0.69,0.0,0.31,Happy,70,11
136,boat rockerz  good headset perfect bass listen song although lenovo  power user dolbi atmo phone l run give good performancel like build qualiti boat alway favourit headphon compani                 thank flipkart sellerread,5,0.367,0.0,0.633,Happy,223,31
137,purchas model boat             purchas flipkart smart headphon  h  day comparison like flipkart headphon flipkart headphon sound qualiti much better boat   base phone call voic mic good flipkart headphon experienceread,5,0.314,0.0,0.686,Happy,218,29
138,reason head phone great batteri pretti sound make happi proud purchasethank boat amaz headphoneread,5,0.375,0.0,0.625,Happy,99,14
139,nice headset good bass batteri backup great seem problem mic pretti good job noic cancel greatread,4,0.464,0.172,0.365,Unhappy,98,16
140,reason head phone great batteri pretti sound make happi proud purchasethank boat amaz headphoneread,5,0.375,0.0,0.625,Happy,99,14
141,nice headset good bass batteri backup great seem problem mic pretti good job noic cancel greatread,4,0.464,0.172,0.365,Unhappy,98,16
142,best headphon  good bass good sound qualiti good batteri backupbut overal best headphon boat rockerz  one problem low bluetooth connect read,5,0.476,0.134,0.39,Happy,140,21
143,give reviw  month use  awesom  work nd good condit yet   best use game movi song high   loud qualiti betti backup good  feel  hour work  give  star  feel disappoint callingread,5,0.265,0.072,0.663,Happy,176,29
144,sound qualiti realli good come adequ bass think build qualiti would much better still quit better brand provid budgetbatteri backup also liter well go want great sound qualiti budgetread,4,0.413,0.0,0.587,Unhappy,186,29
145,clear hd audio without distract         excel sound                                                            bass awesom theatr like experi          high recommend product                                  bought   best rangeread,5,0.486,0.088,0.426,Happy,230,18
146,thank flipkart fast deliveri sound  qualiti mind blow  bole pesa vasul product  thank much flipkart  read,5,0.263,0.0,0.737,Happy,105,16
147,nice productgood sound  bass solid build best headphon   star comfort batteri  deliveri also pretti late  daysread,3,0.481,0.0,0.519,Unhappy,114,16
148,wahooo best product boat headphon best sound qualiti deliveri late product best best flipkart parcel servic best thanku flipkart happi shoppingread,4,0.568,0.0,0.432,Unhappy,147,21
149,sound qualiti averag although bass good  ear cushion lil bit smaller tight ear long useag bt batteri backup good enough listen song averag use although nois cancel work good  overal good product go coz give best price rang read,5,0.311,0.039,0.65,Happy,227,39
150,amaz product bass qualiti excel batteri even better look amaz come coupl cabl wich includ charg cabl anoth use wire headphon wrote one day use amaz product read,5,0.185,0.0,0.815,Happy,160,28
151,excel product price rangeit featur pack headphon great bass trebl quit decent prosexcel bassclear trebleseasi batteri backupl indicatorconnot recommend longer use becom uncomfort person experi mayb othersread,4,0.286,0.0,0.714,Unhappy,208,27
152,better competitor price segmentit way better jbl  price competitor term sound qualiti soni wh ch  avail  big billion go itmi advis think buy one good pair headphon go chroma relianc digit check sound qualiti various rang headphon buy one accord budgetread,5,0.186,0.0,0.814,Happy,255,41
153,one best headphon coz featur qualiti superb design also cool super extra bass wireless function also given music playback time  like guy go thinkread,5,0.472,0.0,0.528,Happy,149,24
154,pros sound qualiti well balanc indian musiceveri instrument well vocal heard clear batteri life awesom easili last  hrs  hrs charg connect decent goe  mtrs without issu headphon quit sturdi headphon gave fallen coupl time consider distanc noth happenedcon ear cup soft gud  hrs use start bother ear size  fit coread,4,0.16,0.084,0.756,Unhappy,315,50
155,best headphon price segment best get  get sound qualiti   headphon love boat rockerz read,5,0.534,0.0,0.466,Happy,89,14
156,batteri backup good design also good sound clariti best bass awesom  earphon snug fit mean fit accord head size bluetooth pair also fast overal good must buy read,5,0.449,0.0,0.551,Happy,162,28
157,headphon much good also come fast flipkart packag headphon good enough box torn place deliveri boy say torn travel detect one star whether headphon goodread,4,0.188,0.13,0.682,Unhappy,156,25
158,nice onebattri back great b play upto  charg fullybass greatbut headphon design n build qualiti much guddoesnt look beauti n attract way sound bass battri backup much great  well n satisfiactiongo itread,5,0.45,0.0,0.55,Happy,203,32
159,brilliant product super bass nice call experi product batteri drain good good work boatread,5,0.644,0.0,0.356,Happy,91,14
160,amaz prize product outstand love love recommend headset mind blow productread,5,0.67,0.0,0.33,Happy,77,11
161,awesom product sound loud super light weight fold almost insid one thing note cannot chang volum wire mode wireless mode chang volum otherwis amaz product got  sale best price headphoneread,4,0.224,0.0,0.776,Unhappy,189,30
162,gave four star hum sound play track paus music hardcor music lover abl detect thought product search saw peopl mention get wrong sound qualiti bad hum sound also loud okay batteri backup good connect rang averag like bl headset think green color give youread,4,0.283,0.111,0.606,Unhappy,258,44
163,everyth betrer sound qualiti awesom batteri backup good excel design love look love thank flipkart thank boatread,5,0.637,0.0,0.363,Happy,113,17
164,awesom sound qualiti begin like  hrs batteri backup suffici music lover like  purchas  start use came know listen music  hrs day use almost  day singl charg happi headphon everyth recommend product read,5,0.288,0.0,0.712,Happy,202,32
165,nice headphon boat super sound qualiti nice  nice product mfd boatread,5,0.637,0.0,0.363,Happy,70,11
166,best headphonesthank flipkart sell get price best earphon price categorygood nice sound  batteri backup   take  hrs charg felt call flicker built could improv hide connect wire earpiecesoveral use jbl  soni headphonesand one good term sound qualiti price read,5,0.289,0.035,0.676,Happy,259,38
167,sound awesom truli love batteri backup boat work well comfort make ear pain  min toler littl bit pain go purchas  saleread,4,0.28,0.21,0.51,Unhappy,122,21
